"","text"
"159","jitihada kubwa zimefanyika kwa upande wa serikali kwa kutoa elimu hamasa maelekezo vifaa  mazingira bora kulinda afya  ustawi wa watu wake dhidi ya  kazi inabaki kwa kila mmoja  kutekeleza au kuweka maisha rehani jamanimuhimu zaidi tuombeane"
"160","bilang kangen ya    ya    situ  mati         jarak  ngefek cuk"
"161","bhabinkamtibmas desa canden aiptu heri pratama  babinsa  kepala dukuh laksana suluh  sosialisasi tanggulang  a maklumat kapolri besama karang taruna dsnkadilobocandenjetisbantul minggu  wib pictwittercomqiueznhsz"
"162","iya tau  nikah  uji      dirumahaja stayathomeandstaysafe"
"163","cegah  lawan    lawan cegah pararelawan thevolunteers volunteer pararelawanindonesia thevolunteersofindonesia berjuangbersamabergerakberbagi rumahsehatalafiatpriâ€ â€"
"164","pemicu nyathomas  menkeu jerman  teekan    harap  rakyat germany  bantu crisispandemik   â€"
"165","cegah   temposcanpacific    alam    bodrex activites tempogroup viruscorona  dirumahaja"
"166"," karantina  suara stayathomeandstaysafe dirumahajacekalcorona coronaupdate "
"167","  wanangoja bbinonsensewatupee fare wajingasisi"
"168","pemerintah lakukan   kayak  maksud bro  lakukan menteri  sepele   deteksi  indonesiapictwittercomasgmrdymj"
"169","actually malas nk suara pasal   ramai deh bash dorg     hmmmm mtk tumbok   time  "
"170","anggota komisi xmendukung  apresiasi masmenteri nadiem makarim  bentuk relawan cegah  dirumahajadulu  coronaupdate cegahcovid pictwittercomqpqjumtdgp"
"171","sorry im crying i   little boy risau  my boy jangkit   semoga "
"172","    rumah    â€"
"173","    bang tenaga medis  susah payah nanganin pasien     masyarakat  bantu   dirumahsaja  kalo  kerja  social distancing   lupa jaga sehat"
"174","ais malaysia      bodoh      ğÿ˜‚"
"175","soo   sudut pandang      oke    i feel more bad maksud    tau  dunia   sahabat   akibat     beri dampak   signifikan bang  orang  tingkat beda"
"176","inshaallah lepas   lenyap rakyat malaysia   pandai simpan duit amin"
"177","stupid stupid stupid  bang  ais    duit  cadang seniman  bang  keluarga  mati akibat  nimajoriti lakiketua keluargasumber pendapatanat least bantu    beban ahli keluarga arwah  tinggal â€"
"178","serama individu  ambil sampel  saring  hasil  positif masuk   sembuh  tinggal dunia makmal   masuk makmal gerak bagiâ€ â€"
"179","  kena banget  psikis    kalo suruh     gue   suka bermalasmalasan"
"180","sedih wafat terdiagnosa   lakukan beda  makam  sedih wafat diimakamkan    positif    terdiagnosa       februari  ribu  puluh ribu  wafat  indonesia"
"181","  lawan arus  tol pakai motor    mati cuk ğÿğÿ˜‚ğÿğÿ˜‚ğÿğÿ˜‚ â€"
"182","  luas daerah daerah terap local loclkdown  lampung "
"183","babi  cepat  habis  nak jumpa kawan kawan nak emosi stabil  fuckkkkkkkk"
"184"," gabut dirumahajaya  besoksenin happyminoday pictwittercomqvdkjkymj"
"185"," harap        aktivitas pei  btw thankyou for your information minn careforyou careindonesia"
"186","duh  sumbar   uk   usia  tinggal   loh"
"187","   masha allah kejut bacanak rmk maksimum  baucer    rumah pemeriksaan   dkt hospital gov and privatebanyak cantik    sumbang dorg  negara"
"188","nasihat   manusia   tuhan  ibadah   mohon ampun   semoga manfaat"
"189","tindak preventif polsek arjasa beri himbauan kait bahaya sebar   polressitubondo situbondosiap â€"
"190"," takut  orang  opd   ngakupdp  a opd  final infeksi     stayhome   ngeyel jujur    lari  nyebarin    orang aplg keluarga  sedih   kalo orang   sayang kena "
"191","nasihat   manusia   tuhan  ibadah   mohon ampun   semoga manfaat"
"192"," kasus   dunia  sahaja cecah   mac  kasus mati pulih aktif"
"193","lockdown  hasil  salah  syarat pemerintah negara  komunis  tiongkok  duduk negara  disiplin  jepang kalo indonesia terapin lockdown jamin nasib kayak india pakmohon imbang masak  coronaindonesia"
"194","    henti wabah  ayo  samasama henti sebar    henti      neger  ayo  samasama henti titik utama  dirumahaja karantinawilayah segeralockdown"
"195","ayo  cepat reda"
"196"," mata â€"
"197","hamara lockdown   shuru huwa hai ğÿ˜‚ ghr  danda aaj huwa haiğÿ˜‚ lockdownpakistan lockdown coronainpakistan "
"198","innalillahi wa inna ilaihi rajiunalfatihah repost ãƒãƒãƒ kasus mati  akibat  kasus mati  kasus  rupa orang perempuan warganegara malaysia usia tahunâ€ â€"
"199","semenjak       besok senin"
"200"," bukaaan  alergi kritil  enggk kondisinyaa urgent    buzzer  sangkut paut  politik  keras  nyuarain buzzer  narasi    bahaya narasi hoax  misinformasi mrela  mmbahyakan"
"201","korangjangan   message   i pastu forward kat whatsappmak  cerita  orang forward voice note kat group   takut warna kuning like what tf tho    hantu  apajangan  brainwashed mak  wehmintak tolong  i ğÿ˜"
"202","  ubah sejarah adab manusia  segi perkejaan ekonomi ibadah  aktivitas      semuah        teular  dirumahaja"
"203","jadwal normal kereta bandara yia      batal kait  pictwittercomqzdyqrbvh"
"204","ya allah ampun dosa dosa   umat manusia   dunia tolong  orangtua  keluarga   saudara    belah dunia   selamat  wabah   ya rabb amin ya rabbalallaamiin"
"205","orang lupa    pandemik orang susah nak control sikit   sapu licin  israel time   ramairamai sujud syukur"
"206","my small contribution tojis pmcares fund  fight the  mera ya yogdan  ramayan me ram ji  liye setu banate samay us gilahari  yogdan  barabar bhi nahi hai indiafightscorona pictwittercomdtlpzuuuv"
"207","       spesial pakai coklat  spesial pakai gabut plus berita   "
"208","   berita hot      dehğÿğÿâœœï"
"209","selesai     ketemu oke"
"210"," caawa pm fiidnimo hadii alle idmo waxaan  ku yahay astaan tv channel barnamijka wacyigelinta ururka dhakhatiia soomaaliyeed ee ku saabsan cudurka  daawasho wacan wacyigelintacovid  socialdistancing pictwittercomdibeor"
"211","cerita  lepas coviddah selamat hapus  nak mandi laut jaga  jaga kasusihatan social distancing is a must stay homestay safe ğÿ‡ğÿ‡ğÿ‡ğÿ‡ thank you frontlinersâ€ â€"
"212"," wuhanitaly only miracle c save india  alami kasus mati dadak    ğÿ˜"
"213","hiyo  chukizo  mbona  waazi hawo watoto wame kufa ju ya huyo ugonjwa wa  mungu awabariki"
"214","  deh    hrp  kat msia sokong milik syarikat  utama kebaji   milik syarikat  sombong  bongkak"
"215","btw sabun detol   tulis anti     masuk  sars  mers         kalo  varian   hehe just info"
"216","  urus politik   politisasi ngene jabat  buah hasil politik  bijak  dasar rumus politik bensin subsidi   bijak politik  you hidup  negara   you jalan  bijak politik"
"217","kangen istri   nakasus   ambil ppds   kota tinggal   rumah almarhum kakek kalo        kali pergi temu maafcurcol"
"218","   orang  ngeluh quarantine   status bosan rumah    mikir    orang     kerja  rumah   wabah "
